protein_group,sequence_count
sp|A0A024R1R8|TMA7B_HUMAN;sp|Q9Y2S6|TMA7_HUMAN,2
sp|A0A024RBG1|NUD4B_HUMAN;sp|O95989|NUDT3_HUMAN;sp|Q8NFP7|NUD10_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,1
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q8NFP7|NUD10_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,2
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,1
sp|A0A075B6T7|TVA6_HUMAN,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P0DN37|PAL4G_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN,1
sp|A0A075B767|PAL4H_HUMAN,3
sp|A0A096LP49|CC187_HUMAN,2
sp|A0A096LP55|QCR6L_HUMAN;sp|P07919|QCR6_HUMAN,1
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,7
sp|A0A0B4J2E0|TVBL4_HUMAN;sp|A0A1B0GX78|TVBL5_HUMAN;sp|P01733|TVBL3_HUMAN,1
sp|A0A0B4J2F0|PIOS1_HUMAN,1
sp|A0A0B4J2F2|SIK1B_HUMAN;sp|P57059|SIK1_HUMAN,2
sp|A0A0C4DH36|HV338_HUMAN,2
sp|A0A0C4DH42|HV366_HUMAN;sp|P01767|HV353_HUMAN,1
sp|A0A0C4DH68|KV224_HUMAN,1
sp|A0A0G2JMI3|HV692_HUMAN,1
sp|A0A0J9YVY3|HV741_HUMAN,1
sp|A0A0U1RRE5|NBDY_HUMAN,1
sp|A0A0U1RRL7|MMPOS_HUMAN,1
sp|A0A1B0GTU1|ZC11B_HUMAN;sp|O75152|ZC11A_HUMAN;sp|P0DQW0|ZC11C_HUMAN,7
sp|A0A1B0GUJ8|PNM8C_HUMAN,1
sp|A0A1B0GUS4|UB2L5_HUMAN;sp|P68036|UB2L3_HUMAN,4
sp|A0A1B0GV03|GG6L7_HUMAN,1
